Index;Hann;Hamming;Blackman;Lanczos;Gaussian;Poisson;Parzen;Welch;Nutall;Blackman-Nutall;Blackman-Harris;Hann-Poisson;Bartlett-Hann;Bartlett-Fejer;Exponential;Triangular;Rectangular;Flat top;Cosine;
641;0.85001;0.86201;0.76841;0.89785;0.81848;0.00000;0.71508;0.93590;0.68490;0.69554;0.68924;0.51229;0.82524;0.74682;0.77652;0.74707;1.00000;0.43462;0.92196;
642;0.84781;0.85998;0.76523;0.89631;0.81594;0.00000;0.71140;0.93491;0.68083;0.69158;0.68521;0.50897;0.82310;0.74487;0.77501;0.74512;1.00000;0.42833;0.92076;
643;0.84559;0.85795;0.76203;0.89477;0.81339;0.00000;0.70771;0.93391;0.67674;0.68761;0.68117;0.50566;0.82095;0.74291;0.77350;0.74316;1.00000;0.42206;0.91956;
644;0.84337;0.85590;0.75883;0.89322;0.81083;0.00000;0.70401;0.93290;0.67265;0.68362;0.67712;0.50236;0.81879;0.74096;0.77199;0.74121;1.00000;0.41580;0.91835;
645;0.84113;0.85384;0.75561;0.89165;0.80826;0.00000;0.70030;0.93188;0.66855;0.67963;0.67307;0.49907;0.81662;0.73900;0.77048;0.73926;1.00000;0.40956;0.91713;
646;0.83888;0.85177;0.75238;0.89008;0.80568;0.00000;0.69658;0.93086;0.66445;0.67564;0.66900;0.49579;0.81444;0.73705;0.76898;0.73730;1.00000;0.40334;0.91590;
647;0.83661;0.84969;0.74913;0.88850;0.80308;0.00000;0.69285;0.92982;0.66033;0.67163;0.66493;0.49253;0.81225;0.73509;0.76748;0.73535;1.00000;0.39713;0.91467;
648;0.83434;0.84759;0.74588;0.88690;0.80048;0.00000;0.68911;0.92878;0.65621;0.66762;0.66085;0.48927;0.81005;0.73314;0.76598;0.73340;1.00000;0.39095;0.91342;
649;0.83205;0.84548;0.74261;0.88530;0.79786;0.00000;0.68536;0.92774;0.65209;0.66360;0.65677;0.48602;0.80784;0.73118;0.76448;0.73145;1.00000;0.38479;0.91217;
650;0.82975;0.84337;0.73933;0.88369;0.79524;0.00000;0.68160;0.92668;0.64795;0.65957;0.65268;0.48279;0.80562;0.72923;0.76299;0.72949;1.00000;0.37865;0.91090;
651;0.82743;0.84124;0.73605;0.88206;0.79260;0.00000;0.67783;0.92562;0.64382;0.65553;0.64858;0.47956;0.80339;0.72727;0.76150;0.72754;1.00000;0.37253;0.90963;
652;0.82510;0.83910;0.73275;0.88043;0.78995;0.00000;0.67406;0.92455;0.63967;0.65149;0.64448;0.47635;0.80115;0.72532;0.76002;0.72559;1.00000;0.36643;0.90835;
653;0.82276;0.83694;0.72944;0.87879;0.78730;0.00000;0.67027;0.92347;0.63552;0.64745;0.64037;0.47314;0.79891;0.72336;0.75853;0.72363;1.00000;0.36036;0.90706;
654;0.82041;0.83478;0.72612;0.87713;0.78463;0.00000;0.66648;0.92239;0.63137;0.64339;0.63625;0.46995;0.79665;0.72141;0.75705;0.72168;1.00000;0.35431;0.90577;
655;0.81805;0.83261;0.72279;0.87547;0.78195;0.00000;0.66268;0.92129;0.62721;0.63934;0.63214;0.46677;0.79439;0.71945;0.75558;0.71973;1.00000;0.34829;0.90446;
656;0.81567;0.83042;0.71945;0.87380;0.77927;0.00000;0.65887;0.92019;0.62305;0.63528;0.62801;0.46359;0.79211;0.71750;0.75410;0.71777;1.00000;0.34230;0.90315;
657;0.81329;0.82822;0.71610;0.87211;0.77657;0.00000;0.65506;0.91908;0.61888;0.63121;0.62389;0.46043;0.78983;0.71554;0.75263;0.71582;1.00000;0.33633;0.90182;
658;0.81089;0.82602;0.71274;0.87042;0.77387;0.00000;0.65124;0.91797;0.61471;0.62714;0.61976;0.45728;0.78753;0.71359;0.75116;0.71387;1.00000;0.33039;0.90049;
659;0.80848;0.82380;0.70938;0.86872;0.77116;0.00000;0.64741;0.91684;0.61054;0.62307;0.61562;0.45414;0.78523;0.71163;0.74970;0.71191;1.00000;0.32448;0.89915;
660;0.80605;0.82157;0.70600;0.86701;0.76844;0.00000;0.64358;0.91571;0.60637;0.61899;0.61149;0.45102;0.78292;0.70968;0.74823;0.70996;1.00000;0.31859;0.89780;
661;0.80362;0.81933;0.70262;0.86529;0.76571;0.00000;0.63974;0.91457;0.60220;0.61491;0.60735;0.44790;0.78060;0.70772;0.74677;0.70801;1.00000;0.31274;0.89645;
662;0.80117;0.81708;0.69922;0.86355;0.76297;0.00000;0.63589;0.91343;0.59802;0.61083;0.60321;0.44479;0.77828;0.70577;0.74532;0.70605;1.00000;0.30692;0.89508;
663;0.79872;0.81482;0.69582;0.86181;0.76022;0.00000;0.63204;0.91227;0.59384;0.60675;0.59907;0.44170;0.77594;0.70381;0.74386;0.70410;1.00000;0.30113;0.89371;
664;0.79625;0.81255;0.69242;0.86006;0.75746;0.00000;0.62818;0.91111;0.58966;0.60266;0.59493;0.43862;0.77359;0.70186;0.74241;0.70215;1.00000;0.29538;0.89233;
665;0.79377;0.81027;0.68900;0.85831;0.75470;0.00000;0.62432;0.90994;0.58549;0.59858;0.59079;0.43554;0.77124;0.69990;0.74096;0.70020;1.00000;0.28965;0.89094;
666;0.79128;0.80798;0.68558;0.85654;0.75193;0.00000;0.62045;0.90876;0.58131;0.59449;0.58664;0.43248;0.76888;0.69795;0.73952;0.69824;1.00000;0.28396;0.88954;
667;0.78878;0.80567;0.68215;0.85476;0.74915;0.00000;0.61658;0.90758;0.57713;0.59040;0.58250;0.42943;0.76651;0.69599;0.73807;0.69629;1.00000;0.27831;0.88813;
668;0.78626;0.80336;0.67871;0.85297;0.74636;0.00000;0.61271;0.90639;0.57295;0.58631;0.57836;0.42640;0.76413;0.69404;0.73663;0.69434;1.00000;0.27269;0.88672;
669;0.78374;0.80104;0.67527;0.85117;0.74357;0.00000;0.60883;0.90519;0.56878;0.58222;0.57421;0.42337;0.76174;0.69208;0.73520;0.69238;1.00000;0.26710;0.88529;
670;0.78121;0.79871;0.67182;0.84937;0.74077;0.00000;0.60494;0.90398;0.56460;0.57814;0.57007;0.42035;0.75935;0.69013;0.73376;0.69043;1.00000;0.26155;0.88386;
671;0.77866;0.79637;0.66836;0.84755;0.73796;0.00000;0.60106;0.90276;0.56043;0.57405;0.56593;0.41735;0.75694;0.68817;0.73233;0.68848;1.00000;0.25604;0.88242;
672;0.77611;0.79402;0.66490;0.84573;0.73515;0.00000;0.59717;0.90154;0.55626;0.56996;0.56179;0.41436;0.75453;0.68622;0.73090;0.68652;1.00000;0.25057;0.88097;
673;0.77354;0.79166;0.66143;0.84390;0.73232;0.00000;0.59328;0.90031;0.55209;0.56588;0.55766;0.41137;0.75211;0.68426;0.72948;0.68457;1.00000;0.24513;0.87951;
674;0.77097;0.78929;0.65796;0.84205;0.72949;0.00000;0.58938;0.89907;0.54792;0.56179;0.55352;0.40840;0.74969;0.68231;0.72805;0.68262;1.00000;0.23973;0.87805;
675;0.76838;0.78691;0.65448;0.84020;0.72666;0.00000;0.58548;0.89783;0.54376;0.55771;0.54939;0.40545;0.74725;0.68035;0.72663;0.68066;1.00000;0.23438;0.87657;
676;0.76578;0.78452;0.65099;0.83834;0.72382;0.00000;0.58158;0.89657;0.53960;0.55363;0.54526;0.40250;0.74481;0.67840;0.72521;0.67871;1.00000;0.22906;0.87509;
